EWT,Watts
30.866,1152.960
29.428,1168.320
32.928,1261.440
31.803,1071.360
32.428,1248.000
29.741,1187.520
33.866,1370.880
36.303,1347.840
33.178,1077.120
32.303,1201.920
30.303,1256.640
30.491,1190.400
33.991,1220.160
32.553,1203.840
31.366,1172.160
34.366,983.040
31.366,1167.360
30.053,1074.240
30.803,1219.200
33.241,1208.640
27.241,1113.600
29.303,1203.840
30.303,1171.200
33.241,1227.840
37.241,1296.000
31.491,1022.400
34.366,969.600
29.803,1184.640
28.991,1129.920
32.866,1224.000
36.991,984.000
35.991,1326.720
34.741,1374.720
33.366,1219.200
31.241,1203.840
29.053,1084.800
31.741,1139.520
30.991,1176.000
30.053,1176.960
31.616,1186.560
31.116,1187.520
31.803,1221.120
30.178,1169.280
29.741,1141.440
30.428,1157.760
30.241,1064.640
29.741,1133.760
29.553,1143.360
30.866,1087.680
29.053,1084.800
28.553,2909.760
17.553,1205.760
18.491,1245.120
17.491,1310.400
18.491,1266.240
18.053,1304.640
18.678,1283.520
18.678,1298.880
17.116,1315.200
16.866,1327.680
16.553,1329.600
18.366,1244.160
17.428,1150.080
18.491,1287.360
17.303,1324.800
18.428,1299.840
18.366,1267.200
17.803,1306.560
16.428,1345.920
17.928,1191.360
18.491,1259.520
18.616,1254.720
17.428,1300.800
16.991,1321.920
18.678,1274.880
17.928,1316.160
16.741,1326.720
18.553,1295.040
16.553,1343.040
16.178,1348.800
17.428,1172.160
18.178,1260.480
17.178,1292.160
18.366,1283.520
17.928,1281.600
18.178,1239.360
16.678,1295.040
16.366,1309.440
16.116,1319.040
14.678,1254.720
15.303,1269.120
15.241,1294.080
15.616,1297.920
14.866,1323.840
14.678,1325.760
14.491,1333.440
14.053,1356.480
14.303,1344.960
13.741,1361.280
13.491,1352.640
13.241,1364.160
13.116,1379.520
15.241,1280.640
16.241,1296.960
16.553,1317.120
15.428,1253.760
15.491,1353.600
15.241,1358.400
16.366,1323.840
15.803,1331.520
15.053,1351.680
14.678,1366.080
13.678,1409.280
13.928,1419.840
13.491,1425.600
17.053,1285.440
17.491,1333.440
16.866,1352.640
17.303,1308.480
17.366,1347.840
15.866,1369.920
15.553,1384.320
16.491,1370.880
16.116,1357.440
14.678,1427.520
14.991,1414.080
15.241,1394.880
17.928,1280.640
16.803,1307.520
17.803,1284.480
16.428,1309.440
17.241,1297.920
15.803,1319.040
15.178,1331.520
16.116,1324.800
15.428,1334.400
14.928,1343.040
16.053,1214.400
17.241,1259.520
17.053,1246.080
17.428,1276.800
16.991,1280.640
16.491,1294.080
15.866,1313.280
15.616,1342.080
15.303,1341.120
16.178,1302.720
14.928,1356.480
14.741,1360.320
14.491,1373.760
16.116,1278.720
16.303,1294.080
15.678,1258.560
15.803,986.880
16.741,1244.160
17.303,1273.920
17.428,1288.320
15.991,1327.680
16.866,1309.440
17.491,1300.800
16.366,1315.200
15.741,1359.360
15.553,1356.480
15.241,1363.200
14.928,1360.320
14.616,1356.480
14.428,1366.080
14.178,1372.800
13.991,1379.520
13.803,1394.880
13.553,1390.080
12.053,1322.880
11.678,1343.040
11.866,1283.520
11.803,1327.680
12.241,1311.360
11.616,1355.520
11.366,1357.440
11.491,1356.480
13.116,1296.000
13.428,1303.680
13.303,1329.600
12.991,1339.200
12.241,1380.480
12.428,1363.200
11.991,1394.880
14.491,1296.960
14.803,1326.720
14.553,1340.160
13.616,1380.480
13.803,1373.760
14.053,1353.600
13.428,1370.880
13.053,1378.560
12.866,1397.760
15.616,1333.440
15.303,1359.360
14.803,1358.400
15.053,1287.360
15.366,1312.320
14.491,1373.760
15.303,1291.200
15.741,1311.360
15.991,1331.520
15.366,1353.600
14.678,1387.200
15.803,1368.000
14.991,1369.920
14.491,1383.360
14.178,1396.800
13.928,1412.160
17.866,1236.480
17.803,1296.960
17.241,1330.560
17.803,1275.840
17.678,1295.040
16.366,1345.920
16.803,1325.760
16.116,1351.680
15.866,1354.560
15.241,1392.960
15.553,1359.360
14.991,1384.320
14.741,1396.800
14.553,1413.120
17.303,1321.920
16.803,1340.160
16.616,1251.840
17.178,1283.520
17.303,1302.720
16.428,1347.840
15.116,1366.080
15.991,1360.320
15.803,1355.520
15.491,1366.080
14.866,1383.360
