EWT,Watts
16.812,1645.49
11.812,1935.871
10.5,1839.077
10.188,1839.077
10.188,1839.077
10.188,1839.077
10.125,1839.077
10.062,1839.077
10.188,1839.077
11.062,1839.077
12.375,1905.143
12.312,2000.4
12.125,1839.077
12.062,1935.871
12.062,1935.871
12.125,1935.871
12.25,580.761
13.5,2032.665
11.438,1839.077
11.062,1839.077
11,1935.871
11.125,1839.077
11.062,1839.077
11,1935.871
11.062,1839.077
11.312,1839.077
12.25,1935.871
14.188,2032.665
11,1839.077
10.438,1935.871
10.312,1839.077
10.375,1839.077
10.25,1839.077
10.188,1839.077
10.188,1839.077
10.562,1839.077
11.875,1839.077
12.562,1935.871
12.312,1935.871
12.125,1935.871
12.125,1935.871
12.188,1645.49
15.625,1064.729
12.688,1935.871
11.25,1839.077
10.875,1839.077
10.812,1839.077
10.938,1839.077
10.812,1839.077
10.812,1935.871
10.875,1839.077
11.312,1839.077
12.375,1645.49
16.938,1451.903
12.438,1935.871
10.75,1839.077
10.375,1839.077
10.312,1935.871
10.375,1839.077
10.312,1839.077
10.188,1839.077
10.25,1839.077
11,1839.077
12.312,1935.871
12.5,1935.871
12.312,1839.077
12.188,1935.871
12.188,1935.871
12.25,1935.871
12.312,1839.077
12.312,1935.871
12.375,1935.871
12.562,1935.871
12.938,1935.871
13.125,1935.871
13.188,1935.871
13.25,1935.871
13.312,1935.871
13.375,1935.871
13.375,2032.665
13.438,1935.871
13.5,1970.543
13.562,1935.871
13.688,1935.871
13.75,2032.665
13.875,1935.871
13.938,2032.665
13.938,1935.871
14.062,1935.871
14.062,2032.665
14.125,1935.871
14.188,2032.665
14.25,1935.871
14.312,2032.665
14.375,2032.665
14.375,1935.871
14.438,2032.665
14.5,2032.665
14.5,1935.871
14.562,2032.665
14.625,2032.665
14.688,774.348
15.438,1935.871
13.312,1935.871
12.875,1935.871
12.75,1839.077
12.812,1935.871
12.812,1935.871
12.75,1935.871
12.75,1905.143
12.875,2000.4
13.562,1935.871
14.125,2032.665
14.125,1935.871
14.125,774.348
15.875,1355.11
13.562,1935.871
12.875,1935.871
12.625,1935.871
12.625,1935.871
12.688,1935.871
12.562,1935.871
12.625,1935.871
12.688,1935.871
13.125,1935.871
13.875,1935.871
14,2032.665
14,1355.11
16.938,1161.523
13.062,1935.871
11.75,1935.871
11.438,1839.077
11.375,1839.077
11.375,1935.871
11.312,1839.077
11.25,1935.871
11.312,1839.077
11.938,1935.871
13.062,1935.871
13.25,1935.871
13.125,1935.871
13.125,1355.11
16.625,1645.49
11.938,1935.871
10.812,1935.871
10.562,1839.077
10.5,1839.077
10.5,1839.077
10.438,1839.077
10.375,1839.077
10.5,1839.077
11.438,1935.871
12.688,1935.871
12.625,1935.871
12.375,1839.077
12.375,1935.871
12.375,1935.871
12.5,774.348
17.625,1161.523
13.625,3097.394
11.062,3000.6
10.625,2903.806
10.5,3000.6
10.562,3000.6
10.438,2903.806
10.438,3000.6
10.438,3000.6
10.938,2903.806
12.375,3097.394
13.062,3097.394
12.938,3097.394
12.875,3097.394
12.938,3000.6
13,3097.394
13.062,3097.394
13.125,3097.394
13.188,3097.394
13.312,3000.6
13.688,3097.394
14,3194.187
14.062,2110.312
14.188,5527.421
14.25,3097.394
14.375,3097.394
14.438,3097.394
14.5,3194.187
14.562,3097.394
14.625,3048.229
14.812,3182.455
14.938,3194.187
15.062,3048.229
15.125,3134.955
15.188,3143.486
15.25,3088.853
15.312,3194.187
15.438,3143.486
15.5,3134.955
15.562,3097.394
15.625,3194.187
15.688,3131.061
15.75,3134.955
15.812,3224.525
15.938,3097.394
16,3224.525
16,3194.187
16.125,3094.369
16.125,3182.455
16.188,3194.187
16.25,3194.187
16.312,3143.486
16.375,3194.187
16.438,3143.486
16.438,3088.853
16.5,3194.187
16.562,3194.187
16.562,3194.187
16.688,3194.187
16.688,3194.187
16.75,3000.6
16.75,3323.742
16.812,3086.331
16.875,3323.742
16.938,3131.061
16.938,3273.382
17,3177.106
17,3088.853
17.062,3273.382
17.125,3188.137
17.125,3273.382
17.188,3143.486
17.25,3177.106
17.25,3265.359
17.25,3224.525
17.312,3224.525
17.312,3290.981
17.375,3143.486
17.375,3224.525
17.438,3238.743
17.5,3224.525
17.5,3290.981
17.562,3094.369
17.562,3364.309
17.625,3143.486
17.625,3314.096
17.688,3224.525
17.688,3290.981
17.688,3194.187
17.812,3290.981
17.75,3194.187
17.812,3290.981
17.812,3238.743
17.812,3224.525
17.875,3290.981
17.875,3194.187
17.938,3290.981
17.938,3290.981
17.938,3290.981
18,3194.187
18,3290.981
18.062,3290.981
18.062,3194.187
18.062,3290.981
18.125,3290.981
18.125,3290.981
18.125,3194.187
18.188,3290.981
18.188,3290.981
18.188,3290.981
18.25,3194.187
18.25,3290.981
18.312,3290.981
18.312,3290.981
18.312,3290.981
18.375,3238.743
18.312,3224.525
18.375,3238.743
18.375,3290.981
18.438,3314.096
18.438,3290.981
18.438,3238.743
18.438,3224.525
18.5,3290.981
18.5,3290.981
18.562,3314.096
18.562,3290.981
18.562,3290.981
18.625,3290.981
18.625,3290.981
18.625,3290.981
18.625,3194.187
18.688,3290.981
18.688,3290.981
18.688,3290.981
18.688,3290.981
18.688,3290.981
18.75,3290.981
18.75,3290.981
18.75,3290.981
18.75,3290.981
18.812,3290.981
18.812,3290.981
18.812,3290.981
18.812,3290.981
18.875,3290.981
18.875,3290.981
18.875,3387.774
18.938,3290.981
18.938,3290.981
18.938,3290.981
18.938,3290.981
19,3290.981
19,3290.981
19,3238.743
19,3314.096
19,3290.981
19.062,3238.743
19,3364.309
19.062,3290.981
19.062,3387.774
19.125,3290.981
19.125,3290.981
19.125,3290.981
19.125,3290.981
19.125,3290.981
19.188,3290.981
19.188,3387.774
19.188,3290.981
19.188,3290.981
19.188,3290.981
19.188,3290.981
19.25,3387.774
19.25,3290.981
19.25,3290.981
19.25,3290.981
19.25,3290.981
19.312,3387.774
19.312,3290.981
19.312,3290.981
19.312,3238.743
19.312,3387.774
19.375,3290.981
19.312,3290.981
19.375,3334
19.375,3290.981
19.375,3290.981
19.375,3387.774
19.438,3290.981
19.438,3290.981
19.438,3387.774
19.438,3290.981
19.438,3290.981
19.438,3387.774
19.438,3290.981
19.438,3290.981
19.5,3387.774
19.5,3290.981
19.5,3290.981
19.5,3387.774
19.5,3290.981
19.5,3290.981
19.5,3387.774
19.5,3290.981
19.5,3387.774
19.562,3290.981
19.562,3290.981
19.562,3387.774
19.562,3238.743
19.625,3403.666
19.625,3290.981
19.625,3238.743
19.625,3455.236
19.625,3290.981
19.625,3387.774
19.688,3290.981
19.688,3387.774
19.688,3290.981
19.688,3290.981
19.688,3334
19.688,3364.309
19.75,3334
19.688,3290.981
19.688,3387.774
19.75,3290.981
19.75,3387.774
19.75,3290.981
19.75,3290.981
19.75,3387.774
19.75,3290.981
19.75,3387.774
19.75,3290.981
19.812,3387.774
19.812,3290.981
19.812,3387.774
19.75,3290.981
19.812,3387.774
19.812,3290.981
19.812,3334
19.812,3290.981
19.875,3387.774
19.812,3290.981
19.875,3387.774
19.875,3290.981
19.875,3387.774
19.875,3387.774
19.875,3290.981
19.875,3387.774
19.875,3290.981
19.938,3387.774
19.938,3290.981
19.938,3387.774
19.938,3290.981
19.938,3387.774
19.938,3290.981
20,3281.906
19.938,3364.309
20,3387.774
19.938,3387.774
20,3188.137
20,3455.236
20,3290.981
20,3231.415
20,3416.068
20,3364.309
20,3387.774
20,3290.981
20.062,3387.774
20.062,3290.981
20.062,3387.774
20,3290.981
20.062,3387.774
20.062,3387.774
20.062,3290.981
20.062,3387.774
20.062,3290.981
20.062,3231.415
20.125,3364.309
20.062,3416.068
20.125,3387.774
20.125,3290.981
20.125,3387.774
20.125,3387.774
20.125,3290.981
20.125,3387.774
20.125,3290.981
20.125,3387.774
20.125,3290.981
20.188,3484.568
20.125,3290.981
20.188,3387.774
20.188,3238.743
20.188,3387.774
20.188,3290.981
20.188,3387.774
20.188,3290.981
20.188,3387.774
20.25,3387.774
20.25,3290.981
20.25,3387.774
20.25,3290.981
20.25,3334
20.25,3238.743
20.312,3403.666
20.25,3290.981
20.312,3281.906
20.25,3364.309
20.312,3387.774
20.25,3290.981
20.312,3334
20.312,3314.096
20.312,3281.906
20.312,3364.309
20.312,3387.774
20.312,3334
20.312,3364.309
20.375,3387.774
20.312,3290.981
20.375,3334
20.375,3314.096
20.375,3329.433
20.375,3387.774
20.375,3290.981
20.375,3387.774
20.375,3290.981
20.375,2286.171
20.438,2323.045
20.438,2226.252
20.438,2323.045
20.438,2226.252
20.438,2260.726
20.438,2323.045
20.438,2226.252
20.25,2323.045
20.125,2226.252
20.062,2286.171
20.062,2273.182
20,2226.252
20,2323.045
19.938,2226.252
19.938,2226.252
19.938,2323.045
19.938,2226.252
19.875,2226.252
19.875,2323.045
19.812,2226.252
19.75,2807.013
19.75,3290.981
19.75,3387.774
19.75,3290.981
19.688,3290.981
19.688,3387.774
19.688,3290.981
19.688,3290.981
19.625,3387.774
19.688,3290.981
19.812,3290.981
19.938,3387.774
19.938,3290.981
20,3387.774
20,3290.981
20.062,3194.187
20.062,2226.252
20.062,2323.045
20.062,2226.252
20.062,2226.252
20.125,2323.045
20.125,2226.252
20.188,2286.171
20.188,2273.182
20.188,2323.045
20.062,2226.252
19.938,2226.252
19.875,2323.045
19.812,2226.252
19.812,2226.252
19.812,2226.252
19.75,2323.045
19.75,580.761
18.812,1839.077
15.938,2032.665
15.312,2032.665
15.125,2032.665
15,2032.665
14.938,2032.665
14.938,2032.665
14.938,2032.665
15.062,2032.665
15.625,2032.665
16.5,2032.665
16.562,1161.523
16.562,3194.187
14.688,3097.394
14.25,3097.394
14.062,3097.394
14.062,3097.394
14,3097.394
14,3097.394
14.062,3097.394
14.25,3097.394
15.062,3097.394
15.875,3194.187
16,3097.394
15.938,3194.187
16.062,3165.016
16.125,3048.229
16.125,3224.525
16.188,3194.187
16.312,3194.187
16.562,3194.187
16.812,3194.187
16.875,3194.187
17,3194.187
17.062,3143.486
17.125,3194.187
17.188,3194.187
17.25,3290.981
17.312,3194.187
17.375,3194.187
17.438,3194.187
17.562,3290.981
17.625,3194.187
17.688,3194.187
17.75,3290.981
17.812,3194.187
17.875,3290.981
17.938,3194.187
17.938,3290.981
18,3194.187
18.062,3290.981
18.125,2226.252
17.688,1839.077
13,1935.871
11.938,1935.871
11.625,1839.077
11.625,1935.871
11.562,1839.077
11.5,1935.871
11.438,1935.871
11.625,1839.077
12.625,1935.871
13.75,2032.665
13.812,1064.729
17.125,1935.871
13.25,3097.394
11.75,3000.6
11.438,2952.971
11.375,3000.6
11.375,3000.6
11.375,3000.6
11.312,3097.394
11.375,3000.6
12.25,3000.6
13.562,3097.394
13.812,3097.394
13.688,3048.229
13.688,3088.853
13.75,3045.385
13.812,3097.394
13.875,3097.394
13.938,3000.6
14,3182.455
14.312,3088.853
14.625,3182.455
14.812,3097.394
14.875,3143.486
14.938,3088.853
15.062,3134.955
15.125,3134.955
15.188,3088.853
15.25,3134.955
15.312,3143.486
15.438,3097.394
15.625,3224.525
15.688,3048.229
15.75,3224.525
15.812,3134.955
15.938,3094.369
16,3182.455
16,3194.187
16.062,3224.525
16.188,3143.486
16.188,3134.955
16.312,3177.106
16.375,3088.853
16.438,3177.106
16.5,3224.525
16.562,3143.486
16.625,3224.525
16.688,3194.187
16.688,3143.486
16.75,3224.525
16.812,3134.955
16.875,3224.525
16.938,3224.525
16.938,3290.981
17,3224.525
17.062,3224.525
17.125,3194.187
17.125,3194.187
17.188,3143.486
17.25,3265.359
17.25,3224.525
17.312,3224.525
17.375,3143.486
17.375,3314.096
17.438,3224.525
17.438,3194.187
17.5,3224.525
17.562,3265.359
17.562,3224.525
17.625,3238.743
17.688,2239.254
17.938,909.273
17.125,1428.857
18.188,706.024
16.312,2000.4
15.812,2091.327
15.688,2029.818
15.688,2060.113
15.688,2000.4
15.688,2060.113
15.75,2032.665
15.812,2095.657
16.25,2060.113
16.5,2129.458
16.438,2032.665
16.438,2129.458
16.438,2032.665
16.438,2129.458
16.438,2129.458
16.5,677.555
18.312,774.348
16,2032.665
15.25,2032.665
15.062,2032.665
15,2032.665
15.062,2032.665
15.062,2000.4
15.062,2000.4
15.125,2032.665
15.312,2032.665
15.875,2129.458
16.062,2032.665
16,2129.458
16,2032.665
16.062,1548.697
16.812,1548.697
15.25,2032.665
14.938,2032.665
14.75,2032.665
14.812,1935.871
14.812,2032.665
14.812,2032.665
14.812,2000.4
14.938,2060.113
15.375,2032.665
15.812,2032.665
15.812,2032.665
15.812,2129.458
15.812,2032.665
15.875,871.142
17.938,677.555
15.688,2032.665
14.875,2032.665
14.688,2032.665
14.625,2032.665
14.688,1935.871
14.688,2032.665
14.688,2032.665
14.75,2032.665
15,2032.665
15.562,2032.665
15.75,2032.665
15.75,2129.458
15.75,2032.665
15.75,2032.665
15.812,2032.665
15.812,1645.49
16.438,1839.077
14.938,2032.665
14.625,1935.871
14.5,2032.665
14.562,2000.4
14.562,1970.543
14.562,2032.665
14.562,1970.543
14.688,2000.4
15.312,2029.818
15.625,2060.113
15.688,2032.665
15.625,2060.113
15.688,1676.806
15.938,2032.665
14.812,1935.871
14.562,2032.665
14.5,2032.665
