"htg_pl_x","htg_pl_y","htg_fl_x","htg_fl_y","clg_pl_x","clg_pl_y","clg_fl_x","clg_fl_y"
"2.625","2512.45714286","1.3125","3179.25714285999","11.8125","1655.14285713999","17.8125","2893.48571429"
"6.875","2512.45714286","3.75","3179.25714285999","13.8125","1655.14285713999","15.5625","2798.22857143"
"5.9375","2607.71428570999","2.375","3369.77142856999","12.625","1589.07741934999","15.9375","2798.22857143"
"5.0","2607.71428570999","6.875","3560.28571429","11.5","1655.14285713999","16.3125","2798.22857143"
"3.5","2417.19999999999","5.25","3465.02857142999","14.0","988.342857139999","15.0625","2798.22857143"
"5.0","2417.19999999999","5.5","2036.17142856999","14.125","1750.4","13.4375","2702.97142857"
"5.875","2417.19999999999","4.4375","1464.62857142999","14.25","1655.14285713999","16.9375","2798.22857143"
"7.0","2417.19999999999","4.75","3465.02857142999","11.4375","1655.14285713999","17.8125","2893.48571429"
"6.875","2512.45714286","5.9375","1464.62857142999","13.0625","1655.14285713999","18.0625","2798.22857143"
"5.375","2417.19999999999","9.8125","3941.31428571","11.4375","1559.88571428999","17.3125","2893.48571429"
"5.375","2512.45714286","5.3125","1369.37142857","12.9375","1655.14285713999","13.875","2702.97142857"
"8.0625","2607.71428570999","4.5625","3369.77142856999","15.6875","1750.4","13.0625","2798.22857143"
"2.6875","2417.19999999999","5.5625","3465.02857142999","14.125","1750.4","17.5625","2893.48571429"
"7.5625","2417.19999999999","6.0625","3560.28571429","12.375","1655.14285713999","16.625","2893.48571429"
"3.8125","2417.19999999999","7.4375","512.057142856999","13.125","1685.87096773999","18.625","2893.48571429"
"5.1875","2512.45714286","2.9375","3274.51428570999","14.25","1708.72499999999","14.25","2702.97142857"
"3.8125","2512.45714286","14.1875","2131.42857142999","11.1875","1655.14285713999","15.375","2798.22857143"
"4.0625","2512.45714286","3.8125","1940.91428571","13.375","1750.4","17.4375","2893.48571429"
"5.125","2417.19999999999","5.0","3369.77142856999","12.25","1655.14285713999","12.8125","2607.71428570999"
"5.375","2321.94285713999","8.5625","1369.37142857","14.25","1750.4","15.875","2798.22857143"
"4.3125","2512.45714286","7.5","3846.05714285999","14.8125","1750.4","17.0625","2798.22857143"
"9.0","2417.19999999999","1.625","3179.25714285999","14.875","702.571428571","14.5625","2702.97142857"
"5.1875","2512.45714286","3.0625","3465.02857142999","13.0","1655.14285713999","18.0625","2893.48571429"
"7.9375","2607.71428570999","5.125","3369.77142856999","12.625","1559.88571428999","14.1875","2798.22857143"
"6.5625","2512.45714286","4.0","1083.59999999999","18.0625","1845.65714286","12.0","2702.97142857"
"4.5625","2607.71428570999","6.25","3655.54285713999","14.25","1369.37142857","14.4375","2653.80645160999"
"8.5625","2607.71428570999","6.3125","2036.17142856999","15.8125","1845.65714286","15.625","2798.22857143"
"8.875","2702.97142857","3.375","3369.77142856999","9.75","1559.88571428999","13.875","2702.97142857"
"5.1875","2607.71428570999","2.6875","3369.77142856999","14.5625","1750.4","14.9375","2798.22857143"
"7.9375","2607.71428570999","5.4375","1274.11428571","12.875","1655.14285713999","18.0625","2893.48571429"
"7.0","2321.94285713999","6.5625","2131.42857142999","13.125","1655.14285713999","15.5","2702.97142857"
"3.0625","2417.19999999999","7.9375","1965.82769231","13.8125","1750.4","16.9375","2798.22857143"
"4.9375","2512.45714286","5.375","2187.9875","13.6875","1750.4","16.5","2798.22857143"
"2.3125","2417.19999999999","4.125","893.085714289999","11.625","1655.14285713999","17.1875","2893.48571429"
"4.6875","2512.45714286","6.8125","1845.65714286","14.1875","1750.4","11.5625","2607.71428570999"
"7.3125","2512.45714286","8.1875","2750.59999999999","16.0625","1845.65714286","16.3125","2798.22857143"
"8.6875","2417.19999999999","0.875","3274.51428570999","13.9375","1750.4","17.8125","2893.48571429"
"6.1875","2417.19999999999","0.9375","3274.51428570999","16.125","1750.4","16.5","2798.22857143"
"4.4375","2417.19999999999","10.125","2201.19436619999","15.625","1750.4","16.8125","2893.48571429"
"4.25","2512.45714286","2.75","3369.77142856999","14.75","1750.4","17.625","2893.48571429"
"6.1875","2512.45714286","5.125","2036.17142856999","14.25","1750.4","18.625","2893.48571429"
"5.6875","2321.94285713999","4.375","3560.28571429","13.9375","1750.4","16.3125","5322.54285713999"
"2.75","2417.19999999999","3.125","4722.42285713999","13.25","1750.4","16.875","2798.22857143"
"5.3125","2512.45714286","5.3125","1845.65714286","14.5625","1845.65714286","14.6875","2702.97142857"
"5.5625","2512.45714286","3.0625","3465.02857142999","15.0","1750.4","18.0","2893.48571429"
"4.4375","2607.71428570999","6.4375","797.82857143","13.375","1655.14285713999","16.25","2702.97142857"
"4.875","2321.94285713999","2.1875","3274.51428570999","15.125","1750.4","13.4375","2702.97142857"
"4.8125","2417.19999999999","5.3125","3560.28571429","14.0","1750.4","16.9375","2798.22857143"
"3.1875","2396.68307692","3.625","3369.77142856999","14.125","1750.4","12.5","2607.71428570999"
"4.4375","2417.19999999999","6.9375","3846.05714285999","12.5","1655.14285713999","10.4375","2607.71428570999"
"1.25","2365.90769231","3.0625","3274.51428570999","14.375","1655.14285713999","11.875","2607.71428570999"
"4.25","2512.45714286","3.1875","3274.51428570999","14.0","1655.14285713999","15.5","2798.22857143"
"7.1875","2512.45714286","6.0","893.085714289999","16.5625","1750.4","17.625","2798.22857143"
"4.0","2417.19999999999","4.0625","3465.02857142999","12.0","1655.14285713999","10.5","2607.71428570999"
"7.75","2512.45714286","4.375","3274.51428570999","13.8125","1655.14285713999","17.0","2893.48571429"
"4.9375","2417.19999999999","6.0625","893.085714289999","13.0","1655.14285713999","13.375","2702.97142857"
"1.3125","2417.19999999999","5.9375","3560.28571429","12.5","1655.14285713999","14.625","2702.97142857"
"5.375","2607.71428570999","3.6875","3369.77142856999","14.0625","1750.4","13.9375","2704.43692307999"
"4.3125","2417.19999999999","3.5625","1940.91428571","14.9375","1750.4","17.125","2798.22857143"
"5.3125","2607.71428570999","3.3125","3274.51428570999","11.6875","1655.14285713999","13.4375","2642.88615385"
"4.625","2417.19999999999","5.5","3465.02857142999","14.1875","1750.4","18.25","2798.22857143"
"3.1875","2417.19999999999","4.625","2036.17142856999","10.0625","1559.88571428999","13.5","2702.97142857"
"6.5","2557.01290323","2.25","3274.51428570999","16.0","1104.11692308","15.0","2702.97142857"
"3.9375","2417.19999999999","4.5625","3465.02857142999","11.25","1655.14285713999","14.375","2750.59999999999"
"7.1875","2512.45714286","3.9375","3369.77142856999","14.3125","1655.14285713999","18.8125","2893.48571429"
